ENSEMBL,ENTREZID,SYMBOL,type,pi_value_C9,pi_value_C12,pi_value_C15,pi_value_C9_C12_C15,description,summary_entrez,summary_genecard,summary_uniport,summary_Tocris,summary_CIViC
ENSG00000196826,NA,NA,NA,6.76818210858002,5.07928412687936,0.288542781574309,34.3775199519394,NA,NA,NA,NA,NA,NA
ENSG00000284952,NA,NA,Protein Coding,0.0842501398543017,2.88251618167172,4.60787135051586,13.2822637309235,Killer Cell Immunoglobulin Like Receptor_ Two Ig Domains And Long Cytoplasmic Tail 1,Entrez Gene Summary for KIR2DL1 Gene Killer cell immunoglobulin-like receptors (KIRs) are transmembrane glycoproteins expressed by natural killer cells and subsets of T cells. The KIR genes are polymorphic and highly homologous and they are found in a clu,GeneCards Summary for KIR2DL1 Gene KIR2DL1 (Killer Cell Immunoglobulin Like Receptor_ Two Ig Domains And Long Cytoplasmic Tail 1) is a Protein Coding gene.Diseases associated with KIR2DL1 include Hematopoietic Stem Cell Transplantation and Birdshot Chorio,UniProtKB/Swiss-Prot for KIR2DL1 GeneKI2L1_HUMAN_P43626Receptor on natural killer (NK) cells for some HLA-C alleles such as w4 and w6. Inhibits the activity of NK cells thus preventing cell lysis.,NA,NA
ENSG00000139329,4060,LUM,Protein Coding,0.349074227206713,2.10945499230111,6.03070629333965,12.7215034975871,GIMAP1-GIMAP5 Readthrough,Entrez Gene Summary for GIMAP1-GIMAP5 Gene This locus represents naturally occurring readthrough transcription between the neighboring GIMAP1 (GTPase_ IMAP family member 1) and GIMAP5 (GTPase, IMAP family member 5) genes on chromosome 7. Alternative splic,GeneCards Summary for GIMAP1-GIMAP5 Gene GIMAP1-GIMAP5 (GIMAP1-GIMAP5 Readthrough) is a Protein Coding gene.An important paralog of this gene is GIMAP5. ,Additional gene information for GIMAP1-GIMAP5 Gene HGNC(51257)Entrez Gene(100527949)Ensembl(ENSG00000281887)UniProtKB(A0A087WTJ2) Search for GIMAP1-GIMAP5 at DataMedSearch for GIMAP1-GIMAP5 at HumanCyc,NA,NA
ENSG00000173867,55070,DET1,Protein Coding,4.47926961229414,2.81197816747442,0.453855786237814,12.5956083560027,PMF1-BGLAP Readthrough,Entrez Gene Summary for PMF1-BGLAP Gene This locus represents naturally occurring read-through transcription between the neighboring PMF1 (polyamine-modulated factor 1) and BGLAP (bone gamma-carboxyglutamate Gla protein) genes on chromosome 1. Alternative,GeneCards Summary for PMF1-BGLAP Gene PMF1-BGLAP (PMF1-BGLAP Readthrough) is a Protein Coding gene.An important paralog of this gene is PMF1. ,Additional gene information for PMF1-BGLAP Gene HGNC(42953)Entrez Gene(100527963)Ensembl(ENSG00000260238)UniProtKB(U3KQ54)UniProtKB(A0A087WT04) Monarch InitiativeSearch for PMF1-BGLAP at DataMedSearch for PMF1-BGLAP at HumanCyc,NA,NA
ENSG00000220201,100125288,ZGLP1,Protein Coding,3.93372874106546,3.05062082050807,0.00340495071540865,12.0003147997253,Protein Kinase C And Casein Kinase Substrate In Neurons 1,Additional gene information for PACSIN1 Gene HGNC(8570)Entrez Gene(29993)Ensembl(ENSG00000124507)OMIM(606512)UniProtKB(Q9BY11) Search for PACSIN1 at DataMedSearch for PACSIN1 at HumanCyc,GeneCards Summary for PACSIN1 Gene PACSIN1 (Protein Kinase C And Casein Kinase Substrate In Neurons 1) is a Protein Coding gene.Among its related pathways are Vesicle-mediated transport and Clathrin-mediated endocytosis.Gene Ontology (GO) annotations rela,UniProtKB/Swiss-Prot for PACSIN1 GenePACN1_HUMAN_Q9BY11Plays a role in the reorganization of the microtubule cytoskeleton via its interaction with MAPT; this decreases microtubule stability and inhibits MAPT-induced microtubule polymerization. Plays a rol,NA,NA
ENSG00000179344,3119,HLA-DQB1,NA,3.69996687990318,0.0887773676751185,2.94459341871394,10.8948981240224,NA,NA,NA,NA,NA,NA
ENSG00000188596,144535,CFAP54,NA,4.04525047156894,0.173788756033395,2.51293579269069,10.1654547004045,NA,NA,NA,NA,NA,NA
ENSG00000181625,79008,SLX1B,Protein Coding,3.58087568668895,0.115147467012045,2.80891700038636,10.0583825926108,Collagen Type XIII Alpha 1 Chain,Entrez Gene Summary for COL13A1 Gene This gene encodes the alpha chain of one of the nonfibrillar collagens. The function of this gene product is not known_ however, it has been detected at low levels in all connective tissue-producing cells so it may ser,GeneCards Summary for COL13A1 Gene COL13A1 (Collagen Type XIII Alpha 1 Chain) is a Protein Coding gene.Diseases associated with COL13A1 include Myasthenic Syndrome_ Congenital, 19 and Postsynaptic Congenital Myasthenic Syndromes.Among its related pathways,UniProtKB/Swiss-Prot for COL13A1 GeneCODA1_HUMAN_Q5TAT6Involved in cell-matrix and cell-cell adhesion interactions that are required for normal development. May participate in the linkage between muscle fiber and basement membrane. May play a role in endo,NA,NA
ENSG00000280987,9782,MATR3,Protein Coding,0.0301614271633534,3.04616902713361,3.26995235256592,9.96082757658897,Protocadherin Gamma Subfamily C_ 5,Entrez Gene Summary for PCDHGC5 Gene This gene is a member of the protocadherin gamma gene cluster_ one of three related clusters tandemly linked on chromosome five. These gene clusters have an immunoglobulin-like organization, suggesting that a novel mec,GeneCards Summary for PCDHGC5 Gene PCDHGC5 (Protocadherin Gamma Subfamily C_ 5) is a Protein Coding gene.Gene Ontology (GO) annotations related to this gene include calcium ion binding.An important paralog of this gene is PCDHGC4. ,UniProtKB/Swiss-Prot for PCDHGC5 GenePCDGM_HUMAN_Q9Y5F6Potential calcium-dependent cell-adhesion protein. May be involved in the establishment and maintenance of specific neuronal connections in the brain.,NA,NA
ENSG00000120645,440073,IQSEC3,NA,0.0122243443180527,2.60356364306325,3.71980524117891,9.68474968520952,NA,NA,NA,NA,NA,NA
